case_index,guidance_mode,wind_x_mps,wind_y_mps,initial_x_m,initial_y_m,initial_vx_mps,initial_vy_mps,initial_vz_mps,initial_mass_kg,success,failure_mode,horizontal_target_error_m,touchdown_horizontal_speed_mps,touchdown_vertical_speed_mps,maximum_tilt_deg,propellant_remaining_kg,nmpc_acceptance_rate,nmpc_mean_solve_time_ms,nmpc_maximum_solve_time_ms
10,nmpc,15.984479221483483,2.3641393895102834,30.72083861167525,-14.086994727553424,-0.6522204074128779,2.2774861071352923,-54.439089958717865,25000.0,0,footprint,3.710614651097451,0.1667892525230577,1.1957187433791505,10.40002037773638,2835.8091179560834,1.0,216.82335678828744,274.5527920778841
11,baseline,11.944885227852144,-4.839454686413514,14.975655552840799,-2.313872013667684,-1.4707407851579113,2.428319295077068,-60.26680464464295,24972.838302762164,1,success,2.698754454785733,0.02373706660964761,1.1960657676505102,4.602052723108634,3115.6737843446244,0.0,0.0,0.0
11,nmpc,11.944885227852144,-4.839454686413514,14.975655552840799,-2.313872013667684,-1.4707407851579113,2.428319295077068,-60.26680464464295,24972.838302762164,1,success,2.166224905735066,0.14237369535697944,1.1960930103433158,2.3810693754033703,3864.0296432670984,1.0,134.60243503563106,217.81716705299914
12,baseline,15.380395793339412,-6.493287570727759,17.676285664802386,-22.54426002201015,-1.8686423489581507,0.7681540171322273,-57.04689077236978,24831.491482444522,0,footprint,4.249569078183697,0.027166261799731473,1.19569619338018,3.599489078501452,3014.34116664865,0.0,0.0,0.0
12,nmpc,15.380395793339412,-6.493287570727759,17.676285664802386,-22.54426002201015,-1.8686423489581507,0.7681540171322273,-57.04689077236978,24831.491482444522,0,footprint,3.4997863774214597,0.2261331847567856,1.1957173287839988,7.330743105246879,3614.069887219459,1.0,146.41732565575728,231.89887520857155
13,baseline,13.934787710717146,-4.842388561246636,21.74711423886213,-2.6713731570525887,-2.841706002616304,2.384083248096312,-56.95864748670925,25000.0,0,footprint,3.3875947588865194,0.022906215463068213,1.1959100533153149,4.723955805093658,3156.629802700143,0.0,0.0,0.0
13,nmpc,13.934787710717146,-4.842388561246636,21.74711423886213,-2.6713731570525887,-2.841706002616304,2.384083248096312,-56.95864748670925,25000.0,1,success,2.9958327905509163,0.15433463059183203,1.1959882993490254,1.9413219729942848,3816.5357632957202,1.0,142.8675206933314,229.75808288902044
14,baseline,4.882082693669906,-7.176080683561393,16.34959589215852,-6.9552357256060455,-0.5874646787509872,0.5860373209161759,-55.90128791615529,24908.564648619744,1,success,1.480176808510246,0.019700627993823355,1.196324885593333,1.757797126585449,3086.6639521117577,0.0,0.0,0.0
14,nmpc,4.882082693669906,-7.176080683561393,16.34959589215852,-6.9552357256060455,-0.5874646787509872,0.5860373209161759,-55.90128791615529,24908.564648619744,1,success,0.786989554955792,0.0987276795194405,1.1963485176944513,2.6224568319657258,3709.0082013377687,1.0,147.25849823163892,246.53375009074807
15,baseline,14.157237990401336,-5.286107146540076,26.244142344759265,-16.473861291422217,-2.011708656767587,0.8257775840664713,-60.052875759599836,25000.0,0,footprint,3.5296510554716902,0.018576714978214632,1.1959398009408073,3.7102482522006555,3144.8390970368964,0.0,0.0,0.0
