case_id,thrust_scale,propellant_scale,drag_scale,density_scale,wind_x_mps,initial_x_m,initial_vx_mps,initial_vz_mps,initial_theta_deg,success,final_time_s,final_altitude_m,landing_x_error_m,touchdown_vx_mps,touchdown_vz_mps,touchdown_speed_mps,propellant_used_kg,propellant_remaining_kg,max_abs_tilt_deg,max_abs_gimbal_deg,failure_mode,guidance_mode
106,0.981997437291395,0.9978611927790719,1.1228364457520583,0.8843095666708122,-6.063076525398664,36.051812490782204,-2.5628992342883663,-57.89841578827725,0.5921560740447813,True,48.07999999999933,0.0,-2.9281606777269933,0.2386649473809672,-0.7497112639467856,0.7867832842638731,4333.429493379266,2651.598856074237,3.451495546807206,2.7306505622816912,success,corridor
107,0.9871704717985874,1.0245415479129263,1.0691090299311867,1.0524532400479083,-4.289447044241452,17.00753049256909,-0.6173782087934938,-58.27939004532823,-0.06304541849695224,True,47.99999999999933,0.0,-1.1733311486656175,0.016131288036797375,-0.7503703820521599,0.7505437553632903,4360.197585934096,2811.5932494563895,0.9807345095395772,0.6556866038146485,success,corridor
108,0.9995326072021369,1.0381150277161804,0.9653199119288495,1.1440669527702672,9.919550740827916,26.44970581591204,-2.4321734592049635,-57.151343942976894,0.864120754573459,True,47.439999999999344,0.0,0.15076373245902533,0.08059774448847969,-0.7500043862412847,0.754322593986019,4326.098853565785,2940.7063404474793,1.0080346575979506,1.0518505115054366,success,corridor
109,1.0091278786022313,0.9701589712199706,0.9204828127265702,1.090255256399792,1.7700801990669923,24.555606937832614,-3.4147647571270827,-61.19308321589236,0.3482154162292407,True,45.919999999999376,0.0,0.10305763724027633,0.3608600547994846,-0.7507189122746293,0.8329458952397145,4166.137110417083,2624.9756881227113,2.4175270676613936,0.5426333484127438,success,corridor
110,1.0003446210233307,0.9717310085539714,1.124148320241296,1.124154142871534,1.9747742064762797,42.063923599790414,-2.361492084366798,-55.16695930720748,-0.06858337648635256,False,46.879999999999356,0.0,-4.836960220788938,0.16443172470718995,-0.7497237714667484,0.7675438264962505,4190.781625020361,2611.3354348574394,4.564796302596951,3.812279142932507,pad_miss,corridor
111,0.978912068253467,1.004765257398465,1.1525164889095227,1.003613644919791,11.634136521518684,10.362122573144514,-3.013689057851132,-58.78016317264134,1.1738039591707419,True,48.319999999999325,0.0,1.3965651889834678,0.15415329936974476,-0.7497690930108946,0.7654521098938571,4362.383973382668,2670.972828406586,3.2259486211293407,1.979357413082729,success,corridor
112,0.9795296604156114,1.0244184749967686,0.93376396430921,1.0723281565962108,9.842310029502215,7.856874100484147,-2.0460556781947616,-58.38692043078307,-0.024701160446723595,True,48.95999999999931,0.0,0.7913610025606483,0.08155806387962529,-0.7494619408144639,0.7538865422019259,4432.986027399438,2737.943297577942,2.2012127552802045,1.846876874758783,success,corridor
113,1.0230598347443722,0.9730662871520922,1.1778772975678913,0.9772930967817136,-13.246751875018887,21.03325932977285,-3.9467914184530546,-61.29551178643823,2.1756027001740974,True,45.83999999999938,0.0,-0.8569094394386636,0.3412647410805185,-0.7503409166689413,0.8243015920962063,4161.389704387722,2650.0743056769243,3.4510372541120717,0.4487091496475458,success,corridor
114,0.9937254416285882,1.0192334145226345,1.0506873955551455,0.9793847016926914,17.33252926224195,18.891249878270916,0.124817842216566,-56.39489608026134,0.33635446686498954,True,47.27999999999935,0.0,-0.4217433399110517,0.03847018373481611,-0.7502876065462851,0.7512732176602223,4286.389149407929,2848.2447522505136,2.840607067623892,2.884995027786461,success,corridor
115,1.019846456534837,0.9825480026150154,1.1710693009755127,0.9065097904756243,14.044533341203906,16.959951621949262,-2.6985473083419067,-58.19547238109845,1.6939498891742235,True,46.23999999999937,0.0,1.9476001812792876,0.23922462664359373,-0.7492770324519159,0.7865395688410827,4179.392481648654,2698.443536656454,2.353125758594817,0.844844337641609,success,corridor
116,1.0133504323741958,0.9708061231528654,1.0439767912054925,1.0553692786737587,-6.600135460571284,21.86098326879542,-3.5632689702746054,-63.218527683648695,2.278371060602525,True,46.479999999999364,0.0,-0.40270560951033585,0.2184803045080925,-0.749463000685758,0.7806589734671916,4221.11912988871,2574.5237321813474,2.5061410724584134,0.24934029003057015,success,corridor
117,1.0250434737833414,0.9763182015796399,0.9764998749582671,1.0792834274263314,-5.218014100508064,25.305293820382005,-3.311807923888045,-62.44385867757325,0.8554283941971321,True,45.999999999999375,0.0,-0.987674819436853,0.26587226167726036,-0.7495659524722802,0.7953220584361145,4187.51473796444,2646.7126730930395,1.9722567651083278,0.1946244399841862,success,corridor
118,0.9832859832250856,0.970601483645381,1.1903620071416015,1.1364568942492395,-11.392624182698547,16.93435665785749,-2.055779830647892,-58.72319803634071,0.9622856141365698,True,47.59999999999934,0.0,-1.6196398015316305,0.15279878798510668,-0.7500795105996192,0.7654846450655178,4264.400021944308,2529.8103635733605,1.659056374367177,0.41606497594238323,success,corridor
119,0.9982513412280586,0.9403293170181078,1.000851821782855,1.1144742030739343,12.945290920891281,16.41483332625808,-1.183179746264007,-60.67606394896414,0.013696460352420817,True,46.55999999999936,0.0,1.504942776843014,0.10389218377449126,-0.749493246414541,0.7566595748884967,4169.929158892723,2412.3760602340335,0.18660350755342953,0.060233126275040086,success,corridor
